ResidentID,FirstName,LastName,RoomNumber,Age,Gender,ContactNumber
80,Kristel,Rutherford,180,83,f,245-935-2361
81,Windy,Legros,181,92,m,(402) 028-0745
82,Laree,Nienow,182,75,f,441-667-1673
83,Darnell,Fadel,183,66,f,137.398.8790
84,Chauncey,Pagac,184,101,m,728-770-7914
85,Arnold,Adams,185,87,m,361-521-0748
86,Brady,Adams,186,78,m,217.633.8056
87,Hellen,Turner,187,93,m,(666) 957-8018
88,Darcy,Pacocha,188,76,f,1-761-469-4826
89,Lulu,MacGyver,189,91,f,757.099.6154
90,Zoila,Kunze,190,95,m,(766) 370-0718
91,Val,Yost,191,73,f,848.231.8108
92,Leena,Robel,192,92,m,235-210-1942
93,Phebe,Bergnaum,193,90,m,(266) 171-0507
94,Salvador,Schuster,194,69,f,1-344-175-7681
95,Ellamae,Conn,195,69,m,667-763-3359
96,Gabriella,Gerlach,196,85,m,990.314.2305
97,Cruz,Veum,197,73,f,(433) 995-9234
98,Merrill,Heaney,198,83,f,974-971-9054
99,Ryan,Sauer,199,98,m,(174) 539-1960
100,Doyle,Fadel,200,73,m,1-433-748-9059
101,Jovan,McGlynn,201,92,f,477-635-7787
102,Chong,Kris,202,83,m,874.427.0622
103,Charleen,Torphy,203,67,m,1-940-099-4651
104,Charles,Yundt,204,72,f,1-218-771-6629
105,Merlin,Toy,205,85,m,1-211-412-1934
106,Jessi,Kunde,206,100,f,585-728-8632
107,Moshe,Rosenbaum,207,77,m,982-565-1667
108,Chi,Lueilwitz,208,71,f,976.433.0201
109,Ernie,Donnelly,209,101,m,988.820.9308
110,Jaymie,Yost,210,69,f,1-585-690-0903
111,Kim,Price,211,94,m,888-001-1655
112,Missy,Nader,212,87,m,361-245-9325
113,Hershel,Pollich,213,67,m,(484) 694-9181
114,Ben,Prosacco,214,98,f,1-964-865-8406
115,Taunya,Schulist,215,70,f,971-042-4984
116,Keshia,Schimmel,216,73,f,726-658-8277
117,Cameron,Doyle,217,101,f,228.249.1404
118,Marvin,Schmitt,218,89,f,(914) 957-0638
119,Cyndy,Metz,219,74,m,1-179-184-2915
120,Georgiann,Stehr,220,82,m,134.984.4382
121,Jessia,Reichert,221,85,f,1-265-397-3927
122,Gilma,Erdman,222,91,m,817.605.7450
123,Sharee,Blanda,223,69,m,970-324-0778
124,Bradford,Braun,224,99,m,(880) 298-6245
125,Maida,Bechtelar,225,84,f,(387) 779-9265
126,Clemencia,Kirlin,226,85,m,(801) 357-9648
127,Branda,Abernathy,227,72,f,(890) 929-2550
128,Tracey,Nolan,228,80,f,1-793-278-1756
129,Abbie,Hahn,229,93,f,(421) 718-7479
130,Jeromy,Renner,230,80,f,683-860-8927
131,Wanita,Kohler,231,76,f,(418) 364-0366
132,Sheridan,Gerhold,232,90,f,816.594.8261
133,Douglas,Sawayn,233,101,m,1-321-902-3017
134,Rebekah,Sawayn,234,100,m,926-277-4448
135,Vernon,Nolan,235,86,f,(427) 225-0264
136,Percy,Grant,236,85,m,1-283-784-4906
137,Chi,Mante,237,83,f,841-929-6614
138,Trey,Hagenes,238,81,f,248-793-4888
139,Joe,Sipes,239,75,f,256-563-9921
140,Trinh,Littel,240,91,m,230.134.1828
141,Camilla,Hodkiewicz,241,70,m,504.582.7933
142,Kendal,Batz,242,80,m,1-873-259-0522
143,Lesley,Lakin,243,100,m,1-333-047-1800
144,Rashad,Cremin,244,76,m,274.419.5962
145,Kenyatta,Collins,245,77,f,1-203-290-7495
146,Benedict,Bednar,246,67,m,1-666-420-7431
147,Augustina,Windler,247,74,f,1-775-196-5554
148,Irwin,Spencer,248,81,f,(773) 874-5168
149,Joseph,Reilly,249,83,f,(883) 343-0591
150,Kesha,Jacobson,250,81,m,287.361.3412
151,Tyra,Sporer,251,95,m,(283) 966-9634
152,Freddie,Ernser,252,89,m,1-277-795-1174
153,Freida,Mosciski,253,69,m,(585) 217-1521
154,Julie,Ratke,254,88,f,429-078-6871
155,Melonie,Fritsch,255,84,f,427.827.5088
156,Dwayne,Murray,256,97,f,239-288-3876
157,Myrtis,Russel,257,101,f,1-381-737-9515
158,Lawerence,Quigley,258,69,f,637-865-0128
159,Nichelle,Johns,259,80,f,1-146-262-3745
160,Mauricio,Thompson,260,77,m,319.749.6558
161,Sally,Schmitt,261,90,m,485.216.8239
162,Nidia,Haley,262,96,f,848.220.6581
163,Laureen,Luettgen,263,71,f,879.790.2045
164,Reinaldo,Feil,264,94,f,307-313-7266
165,Ami,Kub,265,86,f,(289) 783-0734
166,Donella,Koepp,266,86,m,601-787-7451
167,Keenan,Daniel,267,91,m,1-339-891-3628
168,Lawrence,Walsh,268,96,f,(925) 277-9746
169,Ann,Spinka,269,78,f,(228) 868-9698
170,Kourtney,Bode,270,87,m,909.368.8556
171,Tuan,Considine,271,98,m,(976) 492-1003
172,Gregg,Leuschke,272,76,f,595-152-5481
173,Alexia,Johnson,273,93,m,(113) 627-5115
174,Lincol,Kshleran,274,65,m,915-165-9089
175,Shanice,Zieme,275,101,f,1-690-008-7835
176,Dick,Bogisich,276,72,f,(296) 504-6318
177,Rochelle,Price,277,78,f,702.097.8492
178,Jay,Moore,278,76,m,254.466.2715
179,Tyra,Prosacco,279,76,f,1-510-613-3700
180,Darlena,Green,280,89,m,(477) 242-4867
181,Raleigh,Leannon,281,100,m,493.949.5140
182,Christal,Daniel,282,92,f,1-274-347-3070
183,Douglass,Thompson,283,71,f,1-898-636-1377
184,Lon,Gerlach,284,81,f,1-520-254-9315
185,Merideth,Gleason,285,93,m,394.511.2355
186,Debera,Price,286,90,m,323.640.1883
187,Emil,Abshire,287,100,m,394.879.7117
188,Salvador,Ullrich,288,91,f,321-028-2959
189,Jannie,Torp,289,82,f,599-045-7983
190,Eartha,OConner,290,95,m,1-390-387-1346
191,Leonard,Herman,291,85,m,415-042-1209
192,Hershel,Gusikowski,292,94,m,(579) 292-9104
193,Retta,Trantow,293,69,m,1-843-370-6990
194,Julio,Wyman,294,86,f,1-305-484-8247
195,Stanton,Yost,295,75,m,649.769.6520
196,Gilberte,Haley,296,100,m,(459) 142-5233
197,Shawnda,Lowe,297,95,f,1-145-188-8459
198,Dollie,West,298,93,m,(401) 727-3360
199,Martin,Kemmer,299,97,f,(408) 374-6033
200,Tu,Moore,300,94,f,312.933.4265
201,Marna,Abshire,301,92,m,123.328.4158
202,Shirl,Waelchi,302,87,f,370-093-1576
203,Buddy,Kassulke,303,88,f,665.081.7718
204,Walter,Brakus,304,83,f,(122) 219-7167
205,Alec,Collier,305,97,f,(782) 772-0267
206,Leilani,Schaefer,306,80,m,881.287.9743
207,Evia,Stark,307,81,f,230-756-8201
208,Odell,Stehr,308,74,f,(736) 271-5176
209,Celesta,Willms,309,93,f,855-823-3342
210,Jackson,Cummerata,310,92,f,(662) 026-7035
211,Irving,Toy,311,69,f,(528) 773-7460
212,Stanley,O'Conner,312,85,f,1-620-479-7487
213,Dirk,Sanford,313,73,m,(989) 400-5449
214,Loralee,Luettgen,314,68,m,1-382-315-0148
215,Darron,Hackett,315,90,f,397.046.1792
216,Cleo,Wunsch,316,78,f,553-612-6236
217,Doyle,Schimmel,317,98,f,738.059.5180
218,Ahmed,Harris,318,73,f,(531) 302-2965
219,Dallas,Tremblay,319,67,f,(888) 948-0748
220,Belinda,Lindgren,320,71,m,(468) 821-5616
221,Marylin,Schowalter,321,68,m,1-118-201-0233
222,Carl,Stroman,322,68,m,178.304.6864
223,Carmen,Boyle,323,92,m,(263) 201-4425
224,Soon,Gibson,324,80,m,250-812-8474
225,Merlin,Ward,325,91,m,472-512-3263
226,Avelina,Stamm,326,74,m,1-925-088-8926
227,Jude,Pacocha,327,65,m,513.213.2791
228,Eric,Hammes,328,82,m,945-315-8728
229,Kerry,Tromp,329,92,f,(135) 834-4200
230,Rosann,Stoltenberg,330,99,f,402-132-0660
231,Evita,Windler,331,96,f,1-464-140-8968
232,Ossie,Collins,332,67,f,788.620.8519
233,Louanne,Friesen,333,94,m,(683) 439-6497
234,Clement,Roberts,334,81,m,1-983-681-7201
235,Lemuel,Renner,335,76,f,(925) 733-5436
236,Kassie,Carroll,336,68,f,1-546-212-5799
237,Danna,Kuvalis,337,69,m,326.358.2387
238,Pandora,Streich,338,80,m,1-448-626-7665
239,Darrel,Lemke,339,94,f,(544) 486-1426
240,Brittney,Goodwin,340,69,f,1-814-528-5626
241,Scottie,Brekke,341,86,m,336-279-7878
242,See,Bayer,342,79,f,614-489-6926
243,Thomas,Carroll,343,90,m,1-821-713-5345
244,Alfredo,Harber,344,92,m,426.004.2931
245,Willard,Daugherty,345,83,m,(496) 925-4354
246,Lyndsey,Collier,346,72,m,(114) 075-5530
247,Kasey,Kautzer,347,65,m,892-215-8782
248,August,Veum,348,95,m,(635) 551-5965
249,Tequila,Okuneva,349,67,m,876.931.8484
250,Ward,Roberts,350,67,f,383-126-2323
251,Olevia,Marvin,351,66,m,153.817.4758
